0:0:0:0:0:0:0:1 - - [14/May/2020:19:24:30 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:19:24:33 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [14/May/2020:19:24:33 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [14/May/2020:19:24:34 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [14/May/2020:19:24:39 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [14/May/2020:19:24:39 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [14/May/2020:19:24:42 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [14/May/2020:19:25:10 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [14/May/2020:19:25:10 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:19:25:10 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [14/May/2020:19:45:38 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [14/May/2020:19:45:38 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:19:45:38 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [14/May/2020:19:45:53 +0300] "GET /Asiakkaat/asiakkaat/kerttu HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [14/May/2020:19:46:02 +0300] "GET /Asiakkaat/asiakkaat/enne HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [14/May/2020:19:46:06 +0300] "GET /Asiakkaat/asiakkaat/enne HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [14/May/2020:19:46:07 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [14/May/2020:19:49:00 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [14/May/2020:19:49:00 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:19:50:40 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2988
0:0:0:0:0:0:0:1 - - [14/May/2020:19:50:40 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:19:51:15 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2994
0:0:0:0:0:0:0:1 - - [14/May/2020:19:51:15 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:19:51:42 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [14/May/2020:19:51:42 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:20:15:36 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [14/May/2020:20:17:30 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [14/May/2020:20:17:30 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:20:18:06 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [14/May/2020:20:18:06 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:20:18:06 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [14/May/2020:20:18:25 +0300] "DELETE /Asiakkaat/asiakkaat/12 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:20:19:13 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [14/May/2020:20:19:13 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:20:19:13 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [14/May/2020:20:19:50 +0300] "DELETE /Asiakkaat/asiakkaat/13 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:20:20:07 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [14/May/2020:20:20:07 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:20:20:07 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [14/May/2020:20:20:14 +0300] "DELETE /Asiakkaat/asiakkaat/14 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:20:21:23 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [14/May/2020:20:21:23 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:20:21:23 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [14/May/2020:20:21:28 +0300] "DELETE /Asiakkaat/asiakkaat/10 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:20:23:12 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [14/May/2020:20:23:12 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [14/May/2020:20:23:16 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [14/May/2020:20:23:16 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:20:23:35 +0300] "POST /Asiakkaat/asiakkaat HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:20:23:53 +0300] "POST /Asiakkaat/asiakkaat HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:20:24:13 +0300] "POST /Asiakkaat/asiakkaat HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:20:24:15 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [14/May/2020:20:24:15 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [14/May/2020:20:24:23 +0300] "DELETE /Asiakkaat/asiakkaat/16 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:20:27:30 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [14/May/2020:20:27:31 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [14/May/2020:20:27:37 +0300] "DELETE /Asiakkaat/asiakkaat/11 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:21:19:25 +0300] "GET /Asiakkaat/muutaasiakas.jsp HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [14/May/2020:21:19:25 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:21:19:25 +0300] "GET /Asiakkaat/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1387
0:0:0:0:0:0:0:1 - - [14/May/2020:21:19:37 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [14/May/2020:21:19:37 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:21:19:37 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [14/May/2020:21:19:40 +0300] "GET /Asiakkaat/muutaasiakas.jsp?asiakas_id=17 HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [14/May/2020:21:19:40 +0300] "GET /Asiakkaat/asiakkaat/haeyksi/17 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [14/May/2020:21:25:03 +0300] "GET /Asiakkaat/muutaasiakas.jsp?asiakas_id=17 HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [14/May/2020:21:25:03 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:21:25:03 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:21:25:03 +0300] "GET /Asiakkaat/asiakkaat/haeyksi/17 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [14/May/2020:21:26:16 +0300] "GET /Asiakkaat/muutaasiakas.jsp?asiakas_id=17 HTTP/1.1" 200 4043
0:0:0:0:0:0:0:1 - - [14/May/2020:21:26:16 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:21:26:16 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:21:26:16 +0300] "GET /Asiakkaat/asiakkaat/haeyksi/17 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [14/May/2020:21:26:42 +0300] "GET /Asiakkaat/muutaasiakas.jsp?asiakas_id=17 HTTP/1.1" 200 4049
0:0:0:0:0:0:0:1 - - [14/May/2020:21:26:42 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:21:26:42 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:21:26:42 +0300] "GET /Asiakkaat/asiakkaat/haeyksi/17 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [14/May/2020:21:26:46 +0300] "PUT /Asiakkaat/asiakkaat HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:21:27:54 +0300] "GET /Asiakkaat/muutaasiakas.jsp?asiakas_id=17 HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [14/May/2020:21:27:54 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:21:27:54 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:21:27:54 +0300] "GET /Asiakkaat/asiakkaat/haeyksi/17 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [14/May/2020:21:27:59 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [14/May/2020:21:27:59 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [14/May/2020:21:28:04 +0300] "GET /Asiakkaat/muutaasiakas.jsp?asiakas_id=15 HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [14/May/2020:21:28:04 +0300] "GET /Asiakkaat/asiakkaat/haeyksi/15 HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [14/May/2020:21:28:11 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [14/May/2020:21:28:11 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [14/May/2020:21:28:26 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [14/May/2020:21:28:28 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [14/May/2020:21:28:28 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [14/May/2020:21:30:02 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [14/May/2020:21:30:19 +0300] "POST /Asiakkaat/asiakkaat HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:21:30:23 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [14/May/2020:21:30:23 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 620
